Menu Category,Menu Item,City,Serve Size (g),Energy,Protein,Total Fat,Sat Fat,Trans Fat,Cholesterol,Total Carbohydrate,Total Sugars,Added Sugars,Sodium,Popularity,Price,Special Promotions,Local Favorites,Customer Ratings,Health Conscious,Sustainability Rating,Availability Hours
Drink Menu,Hot Coffee,Bangalore,188.02,606.13,20.41,24.18,15.31,0.69,14.65,42.67,19.3,4.77,499.85,6.01,8.96,Yes,Yes,5.78,Yes,7.48,Morning
Regular Menu,Green Chilli Aloo Naan,Hyderabad,156.96,229.21,6.98,15.44,12.04,0.97,42.19,29.31,1.6,4.45,523.24,5.7,9.35,No,No,5.84,No,1.72,Evening
Drink Menu,Coca-Cola,Pune,291.85,450.04,5.05,26.2,3.61,0.08,30.35,86.21,16.17,3.71,421.09,7.94,10.27,Yes,No,4.34,Yes,2.33,Afternoon
Regular Menu,McGrilled Chicken Wrap,Ahmedabad,96.6,571.7,18.62,13.61,18.12,0.81,48.09,35.4,12.69,3.88,1404.24,8.87,8.36,No,Yes,2.14,Yes,5.54,Morning
Regular Menu,McSpicy™ Paneer Burger,Pune,210.11,360.68,7.58,38.75,12.66,0.07,30.1,103.14,18.72,7.78,1291.9,2.61,4.44,Yes,No,9.39,No,1.45,Morning
Meal Menu,McCombo Meal,Bangalore,326.47,650.23,7.68,6.92,4.59,0.6,31.1,26.81,12.04,6.45,1239.61,6.64,10.52,No,No,7.92,No,9.18,Morning
Meal Menu,McCombo Meal,Kolkata,218.16,211.98,23.23,34.16,11.37,0.53,16.85,20.62,2.54,1.05,1274.8,6.11,12.81,Yes,Yes,2.9,No,1.02,Morning
Meal Menu,Chicken Supreme Meal,Delhi,313.9,449.03,17.07,14.33,16.87,0.7,44.12,37.19,12.23,8.45,903.74,2.81,3.56,No,Yes,7.58,No,3.07,Evening
Drink Menu,Pepsi,Bangalore,151.85,203.7,6.11,34.44,12.99,0.89,25.02,29.64,11.1,1.9,721.57,6.47,6.51,Yes,No,7.17,Yes,5.36,Afternoon
Drink Menu,Pepsi,Pune,82.63,537.15,5.34,7.3,5.61,0.16,0.21,53.79,15.66,9.18,866.14,4.09,3.71,No,No,7.19,Yes,8.46,Morning
Drink Menu,Hot Tea,Ahmedabad,108.02,357.91,13.81,13.99,13.43,0.03,37.9,60.28,13.67,9.72,1305.09,9.89,11.45,No,Yes,7.45,No,7.16,Afternoon
Dessert Menu,Vanilla Ice Cream,Bangalore,317.85,409.55,19.59,27.73,8.04,0.94,4.72,30.06,11.59,7.62,1173.12,8.02,2.43,No,No,2.25,Yes,3.55,Evening
Drink Menu,Hot Coffee,Bangalore,109.11,291.14,17.16,21.54,15.43,0.38,30,111.82,6.34,2.83,271.86,6.02,1.12,Yes,Yes,7.1,No,2.26,Evening
Meal Menu,Chicken Supreme Meal,Bangalore,294.85,304.7,19.62,29.5,19.5,0.8,49.86,104.03,19.28,7.67,370.87,4.11,10.57,No,No,1.15,Yes,6.79,Afternoon
Meal Menu,McCombo Meal,Delhi,309.16,231.34,10.31,6.81,12.16,0,7.33,58.38,15.34,4.64,1236.51,8.7,1.21,Yes,Yes,4.62,No,5.19,Evening
Regular Menu,American Veg Burger,Ahmedabad,241.36,496.65,16.31,17.91,1.25,0.63,3.18,29.62,12.57,4.17,972.66,2.66,9.85,No,No,7.34,No,5.82,Afternoon
Drink Menu,Orange Juice,Delhi,146.83,555.32,8.94,35.6,15.57,0.86,38.69,44.23,5.89,6.19,1216.64,3.62,9,No,No,2.74,Yes,4.96,Afternoon
Meal Menu,Veggie Deluxe Meal,Hyderabad,213.37,831.44,18.92,13.96,4.68,0.8,29.17,20.84,11.35,0.57,1019.05,2.16,3.22,No,Yes,4.13,Yes,6.09,Afternoon
Meal Menu,Chicken Supreme Meal,Chennai,200.28,263.7,7.34,22.81,6.72,0.18,36.77,88.96,7.16,1.95,1357.94,6.93,2.1,Yes,Yes,7.89,No,5.44,Afternoon
Regular Menu,McSpicy™ Paneer Burger,Ahmedabad,193.61,598.55,19.78,36.29,8.02,0.8,28.45,29.52,1.32,1.88,369.21,6.67,13.39,Yes,No,6.43,No,4.5,Morning
Meal Menu,Veggie Deluxe Meal,Ahmedabad,310.77,494.22,19.03,5.89,10.43,0.05,16.56,117.81,15.9,8.3,959.73,7.71,6.25,Yes,No,5.71,No,3.66,Morning
Meal Menu,Chicken Supreme Meal,Delhi,122.71,795.06,16.03,24.38,1.33,0.44,41.32,115.36,14.86,4.81,956.47,9.54,10.42,No,No,7.51,Yes,7.75,Afternoon
Drink Menu,Orange Juice,Mumbai,316.39,752.44,8.8,14.28,17.56,0.52,15.2,40.21,1,4.31,231.54,6.13,4.2,Yes,Yes,3.72,No,2.17,Morning
Dessert Menu,Apple Pie,Ahmedabad,265.78,606.4,7.08,39.33,11.65,0.93,11.4,92.39,8.47,6.06,216.08,6.3,12.81,Yes,No,3.98,No,8.96,Evening
Drink Menu,Sprite,Bangalore,128.03,610.34,17.9,15.91,10.15,0.91,2,76.44,14.53,3.56,962.89,2.75,13.81,No,Yes,7.31,No,4.2,Evening
Meal Menu,McCombo Meal,Ahmedabad,295.69,547.52,11.77,22.94,14.76,0.48,32.02,52.7,8.57,6.56,750.74,2.09,9.95,No,No,1.41,Yes,3.36,Morning
Dessert Menu,Vanilla Ice Cream,Hyderabad,172.15,647.18,7.59,29.47,4.64,0.39,21.19,90.5,0.43,8.63,1470.26,9.24,8.65,Yes,Yes,8.5,No,4.75,Evening
Dessert Menu,Chocolate Sundae,Hyderabad,178.53,659.32,8.91,22.98,5.86,0.31,44.22,39.52,12.88,6.72,710.77,4.92,9.21,Yes,No,1.56,No,8.8,Evening
Drink Menu,Pepsi,Hyderabad,283.6,815.86,16.3,12.17,6.79,0.1,49.65,104.06,15.03,4.98,563.57,9.16,2.78,No,Yes,9.38,No,7.52,Afternoon
Dessert Menu,Caramel McFlurry,Kolkata,177.11,635.51,22.93,5.62,12.85,0.28,44.98,88.16,18.81,6.53,838.95,3.18,2.17,Yes,No,9.17,No,6.46,Evening
Dessert Menu,Chocolate Sundae,Bangalore,222.27,561.14,22.04,24.38,16.23,0.43,46.12,79.54,18.7,0.24,1099.19,7.03,9.52,Yes,No,3.76,Yes,3.26,Morning
Drink Menu,Coca-Cola,Pune,310.59,694.22,18.79,33.39,2.66,0.43,24.5,80.18,14.59,5.6,349.13,4.38,8.16,No,Yes,7.71,No,8.92,Evening
Dessert Menu,Caramel McFlurry,Ahmedabad,145.02,416.97,16.95,25.99,12.54,0.45,31.38,76.07,4.3,9.44,824.24,3.99,7.87,Yes,No,9.78,Yes,8.51,Evening
Drink Menu,Hot Chocolate,Mumbai,101.67,380.44,15.54,19.96,5.77,0.68,46.39,119.95,3.35,1.9,1207.87,1.09,12.33,No,No,4.05,No,8.58,Morning
Dessert Menu,Caramel McFlurry,Bangalore,257.24,814.54,8.57,5.44,19.99,0.87,33.88,115.98,16.07,4.75,1452.64,2.44,8.31,No,No,6.19,Yes,6.66,Afternoon
Meal Menu,Veggie Deluxe Meal,Mumbai,327.14,563.98,16.48,20.26,17.84,0.43,32,25.8,16.56,4.35,945.14,9.54,9.38,No,No,8.72,Yes,3.26,Morning
Meal Menu,McCombo Meal,Ahmedabad,344.93,858.64,15.46,34.62,15.14,0.46,1.84,49.4,15.66,4.82,1247.42,9.4,12.9,Yes,No,5.76,Yes,3.6,Evening
Drink Menu,Hot Coffee,Mumbai,81.86,343.13,16.19,7.07,19.75,0.02,8.06,48.03,7.25,7.38,1263.19,9.53,3.33,No,No,3.11,No,3.96,Evening
Drink Menu,Hot Coffee,Ahmedabad,126.47,846.19,14.91,25.98,10.81,0.15,1.57,29.37,1.35,7.42,884.34,9.63,10.52,Yes,Yes,3.94,No,6.63,Morning
Regular Menu,McChicken Burger,Ahmedabad,218.03,541.85,19.93,38.02,3.01,0.72,31.7,57.05,9.89,0.48,1455.01,4.8,5.83,No,Yes,2.68,No,1.13,Morning
Meal Menu,McCombo Meal,Bangalore,119.45,796.55,16.85,19.81,19.75,0.64,4.52,46.79,11.7,3.38,1123.76,4.54,13.36,No,No,4.49,Yes,4.17,Morning
Drink Menu,Iced Tea,Pune,266.24,641.63,11.25,33.44,7.64,0.76,4.45,96.36,7.96,2.49,942.7,4.17,9.88,Yes,No,6.48,No,1.6,Evening
Dessert Menu,Caramel McFlurry,Mumbai,178.17,320.34,23.33,26.51,8.52,0.18,45.04,71.92,11.98,1.23,913.75,7.51,8.97,Yes,No,3.94,No,7.39,Afternoon
Drink Menu,Hot Tea,Pune,270.63,726.66,19.57,13.69,18.81,0.33,26.23,40.94,10.57,5.93,1176.41,4.02,12.64,No,Yes,6.79,No,9.37,Morning
Meal Menu,Veggie Deluxe Meal,Kolkata,87.14,227.94,8.94,21.48,3.31,0.54,13.31,86.69,18.3,7.51,1266.41,2.97,12.91,Yes,No,2.29,Yes,8.25,Morning
Meal Menu,Chicken Supreme Meal,Chennai,302.38,294.4,16.4,36.06,12.38,0.14,24.97,44.09,8.13,4.24,921.39,5.92,1.05,Yes,Yes,5.83,No,8.5,Afternoon
Dessert Menu,Apple Pie,Delhi,294.61,546.18,17.74,12.82,16.36,0.29,27.09,111.24,10.95,2.69,767.4,9.3,9.83,Yes,Yes,4.11,Yes,9.05,Morning
Drink Menu,Iced Tea,Bangalore,153.15,899.05,23.05,39.56,8.55,0.3,14.43,69.68,9.7,6.94,204.82,3.84,13.32,No,No,8.7,Yes,2.85,Morning
Dessert Menu,Chocolate Sundae,Kolkata,246.54,684.24,12.4,17.81,8.29,0.1,0.54,39.92,16.61,4.16,716.94,6.49,4.61,Yes,Yes,1.24,Yes,6.49,Evening
Drink Menu,Hot Chocolate,Bangalore,214.71,686.66,21.38,33.45,14.48,0.29,46.01,104.85,16.8,6.96,1156.81,4.34,7.52,Yes,No,2.92,Yes,4.19,Evening
Drink Menu,Sprite,Mumbai,316.49,210.33,6.04,32.33,5.35,0.27,27.86,34.97,16.84,5.7,1019.9,6.63,7.9,No,No,4.22,Yes,6.1,Afternoon
Drink Menu,Iced Tea,Mumbai,286.15,329.33,9.48,26.69,10.71,0.2,38.03,61.44,2.24,3.79,1169.72,1.16,6.38,No,Yes,7.39,No,1.99,Evening
Drink Menu,Hot Tea,Ahmedabad,207.34,737.49,17.09,29.05,3.3,0.17,20.34,78.12,1.93,5.26,467.74,1.32,6.35,Yes,No,4.03,No,7.83,Afternoon
Regular Menu,McGrilled Chicken Wrap,Chennai,223.98,374.28,24.73,9.09,4.97,0.39,32.44,95.44,8.93,8.62,1396.96,2.29,4.84,No,No,2.51,No,8.59,Evening
Meal Menu,Veggie Deluxe Meal,Chennai,128.93,723.7,5.32,31.15,6.87,0.88,47.69,113.6,16.23,1.02,1032.61,9.58,12.06,Yes,Yes,2.11,No,2.77,Evening
Meal Menu,Chicken Supreme Meal,Kolkata,223.52,843.8,5.46,30.91,10.59,0.04,8.06,70.34,17.66,7.41,921.96,3.22,12.61,Yes,Yes,4.76,No,1.4,Morning
Drink Menu,Hot Coffee,Ahmedabad,163.98,520.27,10,29.49,19.04,0.22,30.89,77.3,17.62,5.59,498.11,8.96,12.89,No,Yes,7.68,Yes,5.11,Evening
Dessert Menu,Chocolate Sundae,Kolkata,183.13,615.45,21.32,25.07,10.42,0.92,0.35,110.33,1.33,6.02,1399.22,1.66,4.45,No,No,7.4,Yes,5.08,Afternoon
Dessert Menu,Vanilla Ice Cream,Delhi,89.92,770.41,19.34,10.26,6.27,0.56,11.33,22.78,14.16,3.23,476.98,3.49,11.88,Yes,No,1.89,No,3.15,Afternoon
Meal Menu,Chicken Supreme Meal,Chennai,149.99,228.85,6.04,14.25,16.32,0.69,20.41,24.29,15.2,3.81,1183.21,9.91,8.55,No,No,8.97,No,3.21,Evening
Dessert Menu,Apple Pie,Bangalore,329.35,502.82,21.53,30.67,2.11,0.08,9.99,119.43,16.44,6.17,1282,9.18,14.37,No,No,8.03,Yes,6.12,Afternoon
Drink Menu,Hot Chocolate,Bangalore,168.34,431.23,5.33,22.1,12.9,0.56,46.12,74.34,16.87,8.89,381.93,2.41,6.66,Yes,Yes,5.27,Yes,3.6,Afternoon
Drink Menu,Sprite,Chennai,233.74,870.62,21.57,31.52,4.16,0.67,48.5,74.21,0.45,2.05,425.1,2.51,11.93,No,No,6.99,No,4.03,Morning
Meal Menu,Chicken Supreme Meal,Mumbai,126.99,743.39,8.7,24.26,5.66,0.49,17.97,75.27,3.29,3.44,306.69,4.53,5.56,No,No,1.69,Yes,2.75,Afternoon
Drink Menu,Orange Juice,Mumbai,214.66,831.27,5.98,22.5,4.56,0.24,14.99,44.64,9.65,2.49,360.59,1.71,13.99,No,Yes,4.54,No,2.24,Evening
Meal Menu,Veggie Deluxe Meal,Delhi,112.97,325.29,5.97,33.81,17.96,0.61,34.45,53.8,19.36,7.98,1440.63,1.32,3.83,Yes,No,3.37,Yes,9.4,Evening
Dessert Menu,Caramel McFlurry,Pune,255.36,319.92,24.22,7.88,10.37,0.58,6.71,56.35,8.79,7.77,323.71,4.62,6.04,No,Yes,4.08,No,6.59,Evening
Regular Menu,McVeggie™ Burger,Bangalore,170.95,320.13,17.3,35.17,6.81,0.17,0.92,85.84,11.8,9.23,958.66,7.3,14.39,Yes,Yes,4.23,No,7.43,Evening
Regular Menu,American Veg Burger,Delhi,322.58,842.01,13.72,29.97,6.35,0.62,44.37,74.15,3.73,7.3,1219.32,2.49,13.25,No,No,2.31,Yes,4.9,Morning
Drink Menu,Sprite,Kolkata,308.96,361.56,14.28,26.28,19.37,0.75,41.39,44.16,13.15,1.05,1150.59,2.38,5.71,Yes,No,7.8,Yes,1.62,Afternoon
Drink Menu,Iced Tea,Chennai,87.47,685.97,19.79,22.63,3.51,0.61,49.9,33.86,4.09,2.05,985.97,7.56,11.58,Yes,Yes,4.97,Yes,6.43,Evening
Dessert Menu,Apple Pie,Bangalore,312.87,276,6.27,20.26,8.08,0.12,11.6,75.77,16.16,9.1,737.14,6.4,5.11,No,No,3.18,No,1.41,Morning
Drink Menu,Hot Chocolate,Mumbai,284.36,492.31,10.87,31.74,6.57,0.33,47.72,22.74,1.11,1.84,550.87,9.6,13.61,No,No,2.05,No,3.86,Evening
Regular Menu,McAloo Tikki Burger®,Chennai,141.26,620.45,5.35,27.65,13.68,0.92,33.9,98.98,5.11,7.64,690.64,6.47,9.65,Yes,Yes,7.61,Yes,6.18,Morning
Regular Menu,Green Chilli Aloo Naan,Hyderabad,311.29,402.18,8.98,8.62,17.59,0.23,17.25,116.62,8.08,0.49,891.4,7.46,6.74,Yes,No,8.93,No,2.9,Afternoon
Regular Menu,Chicken McNuggets,Delhi,278.92,383.35,5.02,19.91,6.47,0.26,16.28,25.37,12.19,0.41,925.19,2.9,6.86,Yes,No,3.99,Yes,7.32,Evening
Regular Menu,American Veg Burger,Delhi,299.24,234.7,15.76,28.75,18.21,0.67,36.83,38.98,10.37,4.53,412.93,9.6,9.23,Yes,No,1.53,Yes,6.03,Afternoon
Dessert Menu,Chocolate Sundae,Delhi,235.99,260.94,8.66,29.81,19.69,0.5,44.85,64.3,2.44,7.81,205.35,8.75,6.05,Yes,Yes,1.26,Yes,5.32,Afternoon
Dessert Menu,Apple Pie,Delhi,246.05,236.02,15.24,16.24,2.78,0.21,11.71,23.51,6.9,5.21,845.21,3.75,10.98,No,No,3.5,Yes,1.86,Afternoon
Drink Menu,Pepsi,Delhi,241.32,256.36,22.62,15.57,19.48,0.16,2.51,50.94,3.46,3.87,1047.28,2.19,1.35,No,Yes,1.96,No,3.68,Morning
Meal Menu,Chicken Supreme Meal,Kolkata,195.07,222.63,5.82,17.03,19.88,0.14,48.64,114.26,4.22,3.47,1180.52,7.24,10.56,Yes,No,5.55,Yes,1.15,Evening
Meal Menu,Chicken Supreme Meal,Hyderabad,202.96,389.28,24.15,31.44,16.47,0.4,41.28,59.79,0.06,8.3,704.21,1.41,10.68,Yes,No,6.13,Yes,6.16,Morning
Regular Menu,Filet-O-Fish,Chennai,165.77,533.25,6.41,15.84,6.87,0.34,1.3,80.77,11.98,6.4,894.2,5.95,11,No,Yes,8.6,No,3.09,Afternoon
Dessert Menu,Apple Pie,Bangalore,292.09,505.98,8.95,27.68,7.84,0.67,40.69,68.18,17.13,0.59,491.58,2.42,11.3,No,No,7.95,No,6.5,Morning
Dessert Menu,Chocolate Sundae,Ahmedabad,221.38,864.48,23.14,37.47,13.92,0.82,19.84,22.45,6.2,0.83,1239.37,1.69,5.93,No,Yes,4.8,No,1.47,Evening
Drink Menu,Pepsi,Delhi,134.7,604.95,17.12,36.14,7.03,0.49,35.36,51.97,4.78,6.37,317.46,4.16,13.64,No,No,4.45,No,1.49,Morning
Dessert Menu,Caramel McFlurry,Ahmedabad,92.73,369.95,19.64,12.32,10.72,0.4,14.56,79.63,10.79,9.58,523.07,1.98,12.37,Yes,No,2.1,Yes,6.32,Evening
Meal Menu,McCombo Meal,Hyderabad,312.68,426.92,20.76,15.43,7.65,0.66,15.06,88.93,3.99,9.55,491.7,8.99,9.53,Yes,No,8.26,No,9.3,Evening
Regular Menu,Chicken McNuggets,Bangalore,228.56,850.08,19.97,24.65,9.47,0.16,47.91,108.32,10.07,3.11,278.44,7.24,1.5,Yes,No,9.35,Yes,6.65,Afternoon
Regular Menu,McSpicy™ Paneer Burger,Ahmedabad,255.32,648.15,14.09,15.14,4.3,0.79,16.11,66.23,3.34,5.67,1379.24,6.62,4.43,No,Yes,1.3,Yes,6.64,Morning
Drink Menu,Hot Chocolate,Mumbai,126.52,340.8,19.68,38,2.16,0.15,2.94,71.66,12.5,7.11,911.58,7.58,1.72,No,Yes,9.92,No,6.65,Evening
Drink Menu,Hot Chocolate,Bangalore,82.45,888.86,8.36,11.53,13.31,0.96,25.64,41.18,14.81,7.29,790.76,5.5,13.26,Yes,Yes,7.91,Yes,7.51,Morning
Meal Menu,McCombo Meal,Kolkata,155.95,320.25,8.53,26.27,13.98,0.14,47.23,94.31,1.25,0.39,1223.13,6.14,11.01,Yes,No,8.21,Yes,3.52,Morning
Drink Menu,Sprite,Delhi,204.72,359.81,15.62,33.25,8.09,0.61,27.98,46.95,14.31,9.3,1019.2,3.41,7.86,Yes,No,1.98,No,5.12,Evening
Regular Menu,Green Chilli Aloo Naan,Bangalore,118.39,555.5,10.67,27.71,12.26,0.22,31.81,98.54,8.43,7.92,1208.64,6.12,7.33,Yes,Yes,6.25,No,9.55,Morning
Meal Menu,Chicken Supreme Meal,Ahmedabad,203.62,552.9,7.24,30.21,8.99,0.19,11.98,76.99,6.8,6.47,954.95,2.04,5.88,No,Yes,5.82,No,4.26,Morning
Regular Menu,Pizza Puff,Mumbai,312.44,346.35,16.04,23.21,11.55,0.52,22.64,43.31,16.88,1.37,1211.77,6.64,11.49,No,Yes,1.47,Yes,6.17,Evening
Dessert Menu,Caramel McFlurry,Chennai,181.03,516.37,6.25,33.97,2.8,0.77,32.72,31.79,0.83,8.2,244.46,1.34,10.74,No,Yes,4.08,Yes,2.07,Afternoon
Dessert Menu,Chocolate Sundae,Delhi,138.14,676.59,17.71,5.57,13.14,0.16,14.47,60.25,4.12,5.59,779.63,2.48,3.79,Yes,No,7.54,No,3.12,Morning
Dessert Menu,Vanilla Ice Cream,Bangalore,290.3,287.5,17.46,24.12,5.51,0.37,27.08,98.91,0.4,9.62,1455.26,6.46,10.23,No,No,4.89,No,9.06,Morning
Dessert Menu,Chocolate Sundae,Chennai,280.48,499.01,14.03,32.26,8.09,0.24,43.1,32.47,17.2,8.26,1019.87,4.02,7.32,No,Yes,5.21,Yes,6.48,Morning
Dessert Menu,Chocolate Sundae,Ahmedabad,132.09,706.51,11.17,14.07,14.9,0.12,27.99,68.27,4.53,4.8,1222.4,5.76,5.35,Yes,Yes,2.74,No,9.5,Morning
Drink Menu,Hot Coffee,Hyderabad,85.43,400.54,14.61,11.8,8.78,0.48,10.22,49.94,5.93,3.86,602.31,7.42,1.91,Yes,Yes,6.43,No,1.7,Afternoon
Drink Menu,Hot Tea,Hyderabad,220.96,693.24,16.32,32.67,9.56,0.47,17.7,51.11,15.16,7.99,1231.8,5.56,10.58,Yes,No,2.46,Yes,7.12,Afternoon
Meal Menu,McCombo Meal,Kolkata,289.21,365.85,21.01,5.67,16.63,0.62,23.53,71.5,2.23,7.43,1036.65,5.05,11.09,No,No,4.52,Yes,3.46,Afternoon
Drink Menu,Hot Tea,Hyderabad,209.44,294.34,11.26,31.02,6.01,0.06,17.03,78.1,8.12,0.91,1177.9,6.87,1.5,Yes,Yes,2.52,Yes,7.66,Evening
Regular Menu,American Veg Burger,Chennai,333.64,809.01,23.59,27.11,10,0.77,11.21,68.77,18.57,8.93,1055.63,8.71,7.61,No,No,5.89,No,9.27,Morning
Meal Menu,Chicken Supreme Meal,Hyderabad,173.84,785.28,22.78,14.78,17.2,0.75,21.53,53.5,11.34,9.65,213.12,6.76,6.23,No,No,2,Yes,3.36,Evening
Meal Menu,McCombo Meal,Pune,171.17,408.43,20.99,15.8,18.44,0.86,36.04,52.38,6.05,2.77,633.55,6.37,11.13,No,Yes,6.39,Yes,8.87,Morning
Drink Menu,Hot Tea,Hyderabad,144.09,300.36,23.13,17.64,14.47,0.25,11,105.02,8.52,5.75,386.74,6.88,2.82,Yes,No,4.13,No,5.54,Morning
Dessert Menu,Apple Pie,Kolkata,159.22,656.73,12.92,13.86,2.97,0.28,10.2,72.48,4.24,1.91,413.5,4.36,14.83,Yes,No,2.29,Yes,6.2,Afternoon
Drink Menu,Sprite,Delhi,120.89,671.61,22.08,17.09,16.32,0.19,12.44,68.27,19.4,4.01,387.27,2.92,3.41,Yes,Yes,6.8,No,2.2,Evening
Drink Menu,Hot Chocolate,Delhi,182.94,278.23,14.45,9.49,12.66,0.84,13.43,35.73,4.71,4.9,826.11,9.95,5.91,Yes,No,5.88,No,6.28,Afternoon
Regular Menu,McSpicy Chicken Burger,Chennai,141.82,434.13,23.02,21.09,15.94,0.24,47.61,48.3,14.84,1.57,1302.48,6.61,5.67,No,No,7.35,No,9.75,Evening
Regular Menu,McChicken Burger,Hyderabad,168.89,435.99,23.16,23.38,10.89,0.58,48.04,81.25,1.47,9.16,1132.8,9.44,14.84,No,No,2.05,No,1.71,Morning
Drink Menu,Sprite,Bangalore,264.32,424.42,16.11,37.02,13.85,0.77,12.8,24.56,17.03,4.92,229.93,6.91,12.25,Yes,Yes,8.86,No,6.66,Evening
Meal Menu,Chicken Supreme Meal,Pune,339.77,445.25,6.02,37.83,10.3,0.2,48.13,59.75,0.21,5.17,1125.36,1.43,14.41,Yes,Yes,7.96,No,3.89,Morning
Drink Menu,Iced Tea,Bangalore,100.05,219.12,12.35,14.81,1.98,0.58,12.36,85.65,14.75,3.91,1421.18,4.77,2.42,Yes,Yes,8.71,No,8.85,Evening
Drink Menu,Coca-Cola,Mumbai,150.88,212.21,6.68,19.6,1.65,0.45,14.5,54.27,14.25,6.27,538.31,5.47,5.52,No,Yes,4.81,No,9.78,Evening
Dessert Menu,Apple Pie,Chennai,243.68,565.59,21.87,6.48,10.46,0.12,13.87,20.48,8.12,0.12,689.82,7.16,11.93,No,Yes,5.36,Yes,2.7,Morning
Meal Menu,Chicken Supreme Meal,Ahmedabad,231.6,324.95,12.29,34.79,8.28,0.33,14.58,72.26,3.95,8.29,1127.88,8.03,1.8,No,No,1.95,Yes,8.62,Afternoon
Meal Menu,Veggie Deluxe Meal,Hyderabad,172.88,208.34,17.31,6.47,17.96,0.09,25.86,104.12,11.27,7.34,844.81,3.52,14.27,No,No,2.45,Yes,8.01,Morning
Dessert Menu,Apple Pie,Ahmedabad,123.32,509.9,15.15,13.4,7.54,0.26,7.78,110.38,16.65,8.28,561.94,1.95,6.17,No,No,2.65,Yes,5.53,Evening
Meal Menu,Chicken Supreme Meal,Kolkata,287.38,242.9,5.89,33.04,10.38,0.25,8.37,26.86,2.42,6.46,1050.61,7.67,6.52,No,Yes,1.77,Yes,6.53,Evening
Drink Menu,Iced Tea,Pune,242.55,544.76,16.69,36.67,7.45,0.73,8.07,46.54,16.85,9.44,532.99,5.85,3.04,No,Yes,1.98,Yes,3.89,Evening
Drink Menu,Orange Juice,Bangalore,234.23,459.52,20.85,15.68,19.86,0.57,44.98,72.85,13.26,2.57,877.7,2.26,4.93,No,No,9.43,Yes,1.64,Afternoon
Dessert Menu,Vanilla Ice Cream,Mumbai,236.33,783.64,19.44,6.2,6,0.85,7.43,57.38,7.75,6.21,924.93,4.19,14.27,No,Yes,4.46,Yes,1.13,Morning
Meal Menu,McCombo Meal,Hyderabad,261.14,625.61,14.08,8.05,8.47,0.48,38.05,94.42,3.79,4.21,1180.08,4.91,7.66,Yes,Yes,5.68,Yes,8.93,Morning
Meal Menu,Chicken Supreme Meal,Hyderabad,113.87,702.24,22.9,15.3,11.67,1,38.36,50.79,2.58,1.42,523.45,6.46,6.13,Yes,Yes,7.02,No,6.09,Morning
Drink Menu,Hot Chocolate,Mumbai,249.65,200.77,8.82,16.91,4.83,0.25,4.85,90.67,5.03,1.74,352.71,9.31,4.88,Yes,No,2.99,Yes,4.71,Evening
Drink Menu,Pepsi,Chennai,196.71,699.14,8.87,9.93,19.76,0.35,44.58,95.93,4.69,7.05,1097.21,9.14,14.63,No,No,7.31,Yes,7.25,Evening
Meal Menu,McCombo Meal,Pune,290.27,812.56,5.75,31.39,8.19,0.2,17.99,52.99,14.79,0.61,788.98,6.54,12.41,Yes,No,3.15,Yes,3.36,Evening
Dessert Menu,Chocolate Sundae,Ahmedabad,81.2,210.13,8.18,36.58,17.62,0.21,32.88,106.43,9.62,5.75,932.14,2.61,14.18,Yes,No,3.81,Yes,6.1,Morning
Meal Menu,Veggie Deluxe Meal,Delhi,310.99,606.4,19.81,5.94,6.22,0.87,1.84,76.15,17.79,6.97,816.77,8.31,9.05,Yes,Yes,1.07,No,2.48,Morning
Dessert Menu,Vanilla Ice Cream,Kolkata,291.49,218.85,14.02,11.14,3.62,0.34,19.82,57.46,17.05,2.25,818.96,8.54,6.29,No,Yes,5.45,No,2.62,Afternoon
Drink Menu,Iced Tea,Delhi,281.55,671.51,6.92,25.12,2.09,0.66,1.38,119.46,19.99,1.06,628.21,9.18,1.08,Yes,Yes,9.6,No,7.43,Evening
Drink Menu,Coca-Cola,Ahmedabad,116.44,222.49,16.36,22.18,3.36,0.87,13.34,80.58,19.98,4.2,589.23,3.25,5.72,Yes,No,8.36,Yes,1.59,Evening
Regular Menu,American Veg Burger,Mumbai,206.22,877.18,10.16,8.46,9.1,0.26,15.25,29.44,12.99,0.65,637.42,8.5,3.18,Yes,No,8.36,Yes,4.55,Morning
Regular Menu,Pizza Puff,Ahmedabad,326.95,534.81,8.32,35.9,19.23,0.91,22.05,117.97,6.87,1.96,1061.7,5.12,6.42,No,Yes,1.85,No,4.01,Evening
Dessert Menu,Caramel McFlurry,Pune,138.31,501.87,17.93,38.04,6.56,0.25,12.62,69.37,3.19,2.65,668.08,1.12,10.43,Yes,No,9.33,No,1.33,Afternoon
Drink Menu,Iced Tea,Ahmedabad,246.75,478.22,11.64,36.32,2.07,0.53,38.98,74.68,9.97,9.69,694.35,9.99,1.93,Yes,No,4.73,Yes,1.51,Morning
Meal Menu,Chicken Supreme Meal,Hyderabad,298.03,584.69,17.04,12.35,18.74,0.87,9.59,86.24,1.12,1.59,1057.12,8.43,10.81,No,Yes,4.11,Yes,4.12,Afternoon
Dessert Menu,Vanilla Ice Cream,Pune,182.69,779.22,5.01,25.01,4.07,0.56,29.32,89.76,4.59,7.46,857.39,4.61,13.67,No,Yes,5.52,Yes,7,Afternoon
Meal Menu,Veggie Deluxe Meal,Mumbai,123.26,415.01,6.43,36.96,12.59,0.61,17.42,56.33,13.46,7.25,1096.02,4.3,4.46,Yes,No,4.08,No,7.44,Afternoon
